No,Nama Material,Kode Normalisasi,Satuan,Stok
1,BOX 105 KVA - BOX;APPMCCB160A+STRIP;AL2MM;1205X420X250,4120470,SET,4
2,BOX 147 KVA - BOX;APPMCCB225A+STRIP;AL2MM;1205X420X250,4120472,BH,0
3,BOX 164 KVA - BOX;APPMCCB250A+STRIP;AL2MM;1205X420X250,4120473,BH,0
4,BOX 197 KVA - BOX;APPMCCB300A+STRIP;AL2MM;1205X420X250,4120474,BH,11
5,BOX 53KVA - BOX;APPMCCB80A+STRIP;AL2MM;1205X420X250,4120467,M,3
6,BOX 66KVA - BOX;APPMCCB100A+STRIP;AL2MM;1205X420X250,4120468,BH,6
7,"BOX 82,5 KVA - BOX;APPMCCB125A+STRIP;AL2MM;1205X420X250",4120469,BH,0
8,BOX TR - BOX;APP PL CB;AL1.6MM;650X400X220MM,4120538,BH,125
9,BOX;LVMDP ;ST PLATE 2mm;80X90X40cm,4120079,BH,0
10,BOX;LVSDP;CABANG;STPLATE 2MM;80X107X30CM,4120453,BH,5
11,CABLE PWR ACC;CABLE SHOE AL-CU 1H 150mm2,3120159,BH,1000
12,CABLE PWR ACC;CABLE SHOE AL-CU 1H 35mm2,3120154,BH,25
13,CABLE PWR ACC;CABLE SHOE AL-CU 1H 70mm2,3120156,BH,0
14,CABLE PWR ACC;CABLE SHOE AL-CU 2H 150mm2,3120171,BH,0
15,CABLE PWR ACC;CABLE SHOE CU ID 1H 10mm2,3120223,BH,0
16,CABLE PWR ACC;CABLE SHOE CU ID 1H 150mm2,3120231,BH,90
17,CABLE PWR ACC;CABLE SHOE CU ID 1H 35mm2,3120226,BH,0
18,CABLE PWR ACC;CABLE SHOE CU ID 1H 50mm2,3120227,BH,0
19,CABLE PWR ACC;CABLE SHOE CU ID 1H 70mm2,3120228,BH,100
20,CABLE PWR ACC;DEAD END ASSY FIXED 70mm,3120038,BH,0
21,CABLE PWR ACC;LARGE ANGLE ASSY  70mm,3120058,BH,0
22,CABLE PWR;NA2XSEYBY;3X150mm2;20kV;UG,3110014,BH,0
23,CABLE PWR;NA2XSEYBY;3X240mm2;20kV;UG,3110015,BH,0
24,CABLE PWR;NFA2X-T;3X35+1X35;0.6/1kV;OH,3110039,BH,0
25,CABLE PWR;NFA2X-T;3X70+1X70;0.6/1kV;OH,3110542,BH,14000
26,CABLE PWR;NFA2X;2X10mm2;0.6/1kV;OH,3110025,BH,45000
27,CABLE PWR;NFA2X;2X16mm2;0.6/1kV;OH,3110026,BH,3000
28,CABLE PWR;NFA2X;4X16mm2;0.6/1kV;OH,3110029,BH,5000
29,CABLE PWR;NFA2X;4X25mm2;0.6/1kV;OH,3110030,BH,7300
